Timestamp,TrafficCount
2020-01-26 11:00:00,4761.00
2020-01-26 12:00:00,4878.00
2020-01-26 13:00:00,4521.00
2020-01-26 14:00:00,4403.00
2020-01-26 15:00:00,4354.00
2020-01-26 16:00:00,4659.00
2020-01-26 17:00:00,4490.00
2020-01-26 18:00:00,4697.00
2020-01-26 19:00:00,4551.00
2020-01-26 20:00:00,4788.00
2020-01-26 21:00:00,5056.00
2020-01-26 22:00:00,4463.00
2020-01-26 23:00:00,4641.00
2020-01-27 00:00:00,4180.00
2020-01-27 01:00:00,4096.00
2020-01-27 02:00:00,4140.00
2020-01-27 03:00:00,4330.00
2020-01-27 04:00:00,5042.00
2020-01-27 05:00:00,5736.00
2020-01-27 06:00:00,7046.00
2020-01-27 07:00:00,9626.00
2020-01-27 08:00:00,17168.00
2020-01-27 09:00:00,47737.00
2020-01-27 10:00:00,30089.00
2020-01-27 11:00:00,22884.00
2020-01-27 12:00:00,16327.00
2020-01-27 13:00:00,16455.00
2020-01-27 14:00:00,25674.00
2020-01-27 15:00:00,19043.00
2020-01-27 16:00:00,18689.00
2020-01-27 17:00:00,18943.00
2020-01-27 18:00:00,11155.00
2020-01-27 19:00:00,8690.00
2020-01-27 20:00:00,7849.00
2020-01-27 21:00:00,7391.00
2020-01-27 22:00:00,7327.00
2020-01-27 23:00:00,6529.00
2020-01-28 00:00:00,5896.00
2020-01-28 01:00:00,5585.00
2020-01-28 02:00:00,5427.00
2020-01-28 03:00:00,5489.00
2020-01-28 04:00:00,6553.00
2020-01-28 05:00:00,7099.00
2020-01-28 06:00:00,7873.00
2020-01-28 07:00:00,9760.00
2020-01-28 08:00:00,18058.00
2020-01-28 09:00:00,43237.00
2020-01-28 10:00:00,28437.00
2020-01-28 11:00:00,18989.00
2020-01-28 12:00:00,12258.00
2020-01-28 13:00:00,15324.00
2020-01-28 14:00:00,20024.00
2020-01-28 15:00:00,17392.00
2020-01-28 16:00:00,17666.00
2020-01-28 17:00:00,16708.00
2020-01-28 18:00:00,11172.00
2020-01-28 19:00:00,6889.00
2020-01-28 20:00:00,6401.00
2020-01-28 21:00:00,5902.00
2020-01-28 22:00:00,5682.00
2020-01-28 23:00:00,4745.00
2020-01-29 00:00:00,4563.00
2020-01-29 01:00:00,4553.00
2020-01-29 02:00:00,4493.00
2020-01-29 03:00:00,4200.00
2020-01-29 04:00:00,4294.00
2020-01-29 05:00:00,5831.00
2020-01-29 06:00:00,7886.00
2020-01-29 07:00:00,8774.00
2020-01-29 08:00:00,15203.00
2020-01-29 09:00:00,43699.00
2020-01-29 10:00:00,28429.00
2020-01-29 11:00:00,20088.00
2020-01-29 12:00:00,13357.00
2020-01-29 13:00:00,14616.00
2020-01-29 14:00:00,20416.00
2020-01-29 15:00:00,16478.00
2020-01-29 16:00:00,15832.00
2020-01-29 17:00:00,13510.00
2020-01-29 18:00:00,8764.00
2020-01-29 19:00:00,6473.00
2020-01-29 20:00:00,5744.00
2020-01-29 21:00:00,5287.00
2020-01-29 22:00:00,5088.00
2020-01-29 23:00:00,4990.00
2020-01-30 00:00:00,5305.00
2020-01-30 01:00:00,4706.00
2020-01-30 02:00:00,4207.00
2020-01-30 03:00:00,20038.00
2020-01-30 04:00:00,5370.00
2020-01-30 05:00:00,5445.00
2020-01-30 06:00:00,7048.00
2020-01-30 07:00:00,10819.00
2020-01-30 08:00:00,16659.00
2020-01-30 09:00:00,42987.00
2020-01-30 10:00:00,31027.00
2020-01-30 11:00:00,23396.00
2020-01-30 12:00:00,16603.00
2020-01-30 13:00:00,14679.00
2020-01-30 14:00:00,22620.00
2020-01-30 15:00:00,17632.00
2020-01-30 16:00:00,17191.00
2020-01-30 17:00:00,15557.00
2020-01-30 18:00:00,11216.00
2020-01-30 19:00:00,8107.00
2020-01-30 20:00:00,6318.00
2020-01-30 21:00:00,6281.00
2020-01-30 22:00:00,5912.00
2020-01-30 23:00:00,5215.00
2020-01-31 00:00:00,4822.00
2020-01-31 01:00:00,4738.00
2020-01-31 02:00:00,4639.00
2020-01-31 03:00:00,4695.00
2020-01-31 04:00:00,6333.00
2020-01-31 05:00:00,5590.00
2020-01-31 06:00:00,8428.00
2020-01-31 07:00:00,8595.00
2020-01-31 08:00:00,17733.00
2020-01-31 09:00:00,39248.00
2020-01-31 10:00:00,23715.00
2020-01-31 11:00:00,22791.00
2020-01-31 12:00:00,13890.00
2020-01-31 13:00:00,14745.00
2020-01-31 14:00:00,19460.00
2020-01-31 15:00:00,15571.00
2020-01-31 16:00:00,15628.00
2020-01-31 17:00:00,12353.00
2020-01-31 18:00:00,8874.00
2020-01-31 19:00:00,6847.00
2020-01-31 20:00:00,6481.00
2020-01-31 21:00:00,5425.00
2020-01-31 22:00:00,5260.00
2020-01-31 23:00:00,5161.00
2020-02-01 00:00:00,5153.00
2020-02-01 01:00:00,4739.00
2020-02-01 02:00:00,4424.00
2020-02-01 03:00:00,4430.00
2020-02-01 04:00:00,4426.00
2020-02-01 05:00:00,4143.00
2020-02-01 06:00:00,4075.00
2020-02-01 07:00:00,3970.00
2020-02-01 08:00:00,4027.00
2020-02-01 09:00:00,4201.00
2020-02-01 10:00:00,4304.00
2020-02-01 11:00:00,4212.00
2020-02-01 12:00:00,4184.00
2020-02-01 13:00:00,4195.00
2020-02-01 14:00:00,4185.00
2020-02-01 15:00:00,4137.00
2020-02-01 16:00:00,4265.00
2020-02-01 17:00:00,4294.00
2020-02-01 18:00:00,4196.00
2020-02-01 19:00:00,4147.00
2020-02-01 20:00:00,4448.00
2020-02-01 21:00:00,4482.00
2020-02-01 22:00:00,4220.00
2020-02-01 23:00:00,4129.00
2020-02-02 00:00:00,4080.00
2020-02-02 01:00:00,4103.00
2020-02-02 02:00:00,4144.00
2020-02-02 03:00:00,4148.00
2020-02-02 04:00:00,4111.00
2020-02-02 05:00:00,4042.00
2020-02-02 06:00:00,4074.00
2020-02-02 07:00:00,4281.00
2020-02-02 08:00:00,4202.00
2020-02-02 09:00:00,4148.00
2020-02-02 10:00:00,4131.00
2020-02-02 11:00:00,4234.00
2020-02-02 12:00:00,3903.00
2020-02-02 13:00:00,4150.00
2020-02-02 14:00:00,4205.00
2020-02-02 15:00:00,4368.00
2020-02-02 16:00:00,4686.00
2020-02-02 17:00:00,4468.00
2020-02-02 18:00:00,4243.00
2020-02-02 19:00:00,4420.00
2020-02-02 20:00:00,4647.00
2020-02-02 21:00:00,4900.00
2020-02-02 22:00:00,4233.00
2020-02-02 23:00:00,4163.00
2020-02-03 00:00:00,4016.00
2020-02-03 01:00:00,3913.00
2020-02-03 02:00:00,3932.00
2020-02-03 03:00:00,4081.00
2020-02-03 04:00:00,4550.00
2020-02-03 05:00:00,5773.00
2020-02-03 06:00:00,7299.00
2020-02-03 07:00:00,9328.00
2020-02-03 08:00:00,18689.00
2020-02-03 09:00:00,45778.00
2020-02-03 10:00:00,29563.00
2020-02-03 11:00:00,23378.00
2020-02-03 12:00:00,22690.00
2020-02-03 13:00:00,21375.00
2020-02-03 14:00:00,31181.00
2020-02-03 15:00:00,28859.00
2020-02-03 16:00:00,25493.00
2020-02-03 17:00:00,22654.00
2020-02-03 18:00:00,17141.00
2020-02-03 19:00:00,15350.00
2020-02-03 20:00:00,15097.00
2020-02-03 21:00:00,14903.00
2020-02-03 22:00:00,9336.00
2020-02-03 23:00:00,13995.00
2020-02-04 00:00:00,11570.00
2020-02-04 01:00:00,13609.00
2020-02-04 02:00:00,13893.00
2020-02-04 03:00:00,14048.00
2020-02-04 04:00:00,14373.00
2020-02-04 05:00:00,15914.00
2020-02-04 06:00:00,17439.00
2020-02-04 07:00:00,17781.00
2020-02-04 08:00:00,41799.00
2020-02-04 09:00:00,52862.00
2020-02-04 10:00:00,40996.00
2020-02-04 11:00:00,32462.00
2020-02-04 12:00:00,25397.00
2020-02-04 13:00:00,24361.00
2020-02-04 14:00:00,29766.00
2020-02-04 15:00:00,26490.00
2020-02-04 16:00:00,20190.00
2020-02-04 17:00:00,17934.00
2020-02-04 18:00:00,10188.00
2020-02-04 19:00:00,7213.00
2020-02-04 20:00:00,6723.00
2020-02-04 21:00:00,6067.00
2020-02-04 22:00:00,5793.00
2020-02-04 23:00:00,5172.00
2020-02-05 00:00:00,5279.00
2020-02-05 01:00:00,5112.00
2020-02-05 02:00:00,4658.00
2020-02-05 03:00:00,4933.00
2020-02-05 04:00:00,5319.00
2020-02-05 05:00:00,5592.00
2020-02-05 06:00:00,7450.00
2020-02-05 07:00:00,9585.00
2020-02-05 08:00:00,18502.00
2020-02-05 09:00:00,39920.00
2020-02-05 10:00:00,30717.00
2020-02-05 11:00:00,26452.00
2020-02-05 12:00:00,14465.00
2020-02-05 13:00:00,16400.00
2020-02-05 14:00:00,23151.00
2020-02-05 15:00:00,17680.00
2020-02-05 16:00:00,17798.00
2020-02-05 17:00:00,15095.00
2020-02-05 18:00:00,11420.00
2020-02-05 19:00:00,7347.00
2020-02-05 20:00:00,6787.00
2020-02-05 21:00:00,6432.00
2020-02-05 22:00:00,5767.00
2020-02-05 23:00:00,5753.00
2020-02-06 00:00:00,5706.00
2020-02-06 01:00:00,4956.00
2020-02-06 02:00:00,4596.00
2020-02-06 03:00:00,4794.00
2020-02-06 04:00:00,5432.00
2020-02-06 05:00:00,7015.00
2020-02-06 06:00:00,8642.00
2020-02-06 07:00:00,10955.00
2020-02-06 08:00:00,15871.00
2020-02-06 09:00:00,42472.00
2020-02-06 10:00:00,33080.00
2020-02-06 11:00:00,25981.00
2020-02-06 12:00:00,23788.00
2020-02-06 13:00:00,22892.00
2020-02-06 14:00:00,29842.00
2020-02-06 15:00:00,27934.00
2020-02-06 16:00:00,25267.00
2020-02-06 17:00:00,24686.00
2020-02-06 18:00:00,19069.00
2020-02-06 19:00:00,17037.00
2020-02-06 20:00:00,17148.00
2020-02-06 21:00:00,16333.00
2020-02-06 22:00:00,16029.00
2020-02-06 23:00:00,15668.00
2020-02-07 00:00:00,13720.00
2020-02-07 01:00:00,14625.00
2020-02-07 02:00:00,14087.00
2020-02-07 03:00:00,13865.00
2020-02-07 04:00:00,15141.00
2020-02-07 05:00:00,14670.00
2020-02-07 06:00:00,15968.00
2020-02-07 07:00:00,19196.00
2020-02-07 08:00:00,23569.00
2020-02-07 09:00:00,48141.00
2020-02-07 10:00:00,32411.00
2020-02-07 11:00:00,30267.00
2020-02-07 12:00:00,15502.00
2020-02-07 13:00:00,16379.00
2020-02-07 14:00:00,22333.00
2020-02-07 15:00:00,20796.00
2020-02-07 16:00:00,18518.00
2020-02-07 17:00:00,14961.00
2020-02-07 18:00:00,8184.00
2020-02-07 19:00:00,6208.00
2020-02-07 20:00:00,5924.00
2020-02-07 21:00:00,5352.00
2020-02-07 22:00:00,5601.00
2020-02-07 23:00:00,4980.00
2020-02-08 00:00:00,4884.00
2020-02-08 01:00:00,4174.00
2020-02-08 02:00:00,4469.00
2020-02-08 03:00:00,4517.00
2020-02-08 04:00:00,4436.00
2020-02-08 05:00:00,4551.00
2020-02-08 06:00:00,4332.00
2020-02-08 07:00:00,4070.00
2020-02-08 08:00:00,4163.00
2020-02-08 09:00:00,4290.00
2020-02-08 10:00:00,4295.00
2020-02-08 11:00:00,4419.00
2020-02-08 12:00:00,4446.00
2020-02-08 13:00:00,4447.00
2020-02-08 14:00:00,4475.00
2020-02-08 15:00:00,4518.00
2020-02-08 16:00:00,4509.00
2020-02-08 17:00:00,4365.00
2020-02-08 18:00:00,4395.00
2020-02-08 19:00:00,4454.00
2020-02-08 20:00:00,4431.00
2020-02-08 21:00:00,4495.00
2020-02-08 22:00:00,4421.00
2020-02-08 23:00:00,4346.00
2020-02-09 00:00:00,4399.00
2020-02-09 01:00:00,4312.00
2020-02-09 02:00:00,4329.00
2020-02-09 03:00:00,4348.00
2020-02-09 04:00:00,4294.00
2020-02-09 05:00:00,4342.00
2020-02-09 06:00:00,4374.00
2020-02-09 07:00:00,4488.00
2020-02-09 08:00:00,4613.00
2020-02-09 09:00:00,4631.00
2020-02-09 10:00:00,4643.00
2020-02-09 11:00:00,4595.00
2020-02-09 12:00:00,4416.00
2020-02-09 13:00:00,4489.00
2020-02-09 14:00:00,4541.00
2020-02-09 15:00:00,4692.00
2020-02-09 16:00:00,4337.00
2020-02-09 17:00:00,4235.00
2020-02-09 18:00:00,4255.00
2020-02-09 19:00:00,4545.00
2020-02-09 20:00:00,4642.00
2020-02-09 21:00:00,4525.00
2020-02-09 22:00:00,4490.00
2020-02-09 23:00:00,4300.00
2020-02-10 00:00:00,4097.00
2020-02-10 01:00:00,4175.00
2020-02-10 02:00:00,4054.00
2020-02-10 03:00:00,4496.00
2020-02-10 04:00:00,5234.00
2020-02-10 05:00:00,5246.00
2020-02-10 06:00:00,6809.00
2020-02-10 07:00:00,11476.00
2020-02-10 08:00:00,19824.00
2020-02-10 09:00:00,49772.00
2020-02-10 10:00:00,31704.00
2020-02-10 11:00:00,27619.00
2020-02-10 12:00:00,23046.00
2020-02-10 13:00:00,16232.00
2020-02-10 14:00:00,23867.00
2020-02-10 15:00:00,20364.00
2020-02-10 16:00:00,19023.00
2020-02-10 17:00:00,17183.00
2020-02-10 18:00:00,10882.00
2020-02-10 19:00:00,8334.00
2020-02-10 20:00:00,6959.00
2020-02-10 21:00:00,5912.00
2020-02-10 22:00:00,6604.00
2020-02-10 23:00:00,7122.00
2020-02-11 00:00:00,6247.00
2020-02-11 01:00:00,5238.00
2020-02-11 02:00:00,5150.00
2020-02-11 03:00:00,5475.00
2020-02-11 04:00:00,6885.00
2020-02-11 05:00:00,6438.00
2020-02-11 06:00:00,8739.00
2020-02-11 07:00:00,10523.00
2020-02-11 08:00:00,16664.00
2020-02-11 09:00:00,44879.00
2020-02-11 10:00:00,32463.00
2020-02-11 11:00:00,26098.00
2020-02-11 12:00:00,24845.00
2020-02-11 13:00:00,24848.00
2020-02-11 14:00:00,30314.00
2020-02-11 15:00:00,27958.00
2020-02-11 16:00:00,26008.00
2020-02-11 17:00:00,23872.00
2020-02-11 18:00:00,18717.00
2020-02-11 19:00:00,17854.00
2020-02-11 20:00:00,17095.00
2020-02-11 21:00:00,16458.00
2020-02-11 22:00:00,16126.00
2020-02-11 23:00:00,15465.00
2020-02-12 00:00:00,13242.00
2020-02-12 01:00:00,14789.00
2020-02-12 02:00:00,14993.00
2020-02-12 03:00:00,15123.00
2020-02-12 04:00:00,16320.00
2020-02-12 05:00:00,17004.00
2020-02-12 06:00:00,18414.00
2020-02-12 07:00:00,21389.00
2020-02-12 08:00:00,27777.00
2020-02-12 09:00:00,55593.00
2020-02-12 10:00:00,38456.00
2020-02-12 11:00:00,31025.00
2020-02-12 12:00:00,24142.00
2020-02-12 13:00:00,22990.00
2020-02-12 14:00:00,31038.00
2020-02-12 15:00:00,30380.00
2020-02-12 16:00:00,26785.00
2020-02-12 17:00:00,26884.00
2020-02-12 18:00:00,19160.00
2020-02-12 19:00:00,16546.00
2020-02-12 20:00:00,17238.00
2020-02-12 21:00:00,16425.00
2020-02-12 22:00:00,15094.00
2020-02-12 23:00:00,14760.00
2020-02-13 00:00:00,12602.00
2020-02-13 01:00:00,13817.00
2020-02-13 02:00:00,14974.00
2020-02-13 03:00:00,14299.00
2020-02-13 04:00:00,15735.00
2020-02-13 05:00:00,16136.00
2020-02-13 06:00:00,17204.00
2020-02-13 07:00:00,20346.00
2020-02-13 08:00:00,25618.00
2020-02-13 09:00:00,54159.00
2020-02-13 10:00:00,38310.00
2020-02-13 11:00:00,32387.00
2020-02-13 12:00:00,18212.00
2020-02-13 13:00:00,15938.00
2020-02-13 14:00:00,22612.00
2020-02-13 15:00:00,20069.00
2020-02-13 16:00:00,17498.00
2020-02-13 17:00:00,16101.00
2020-02-13 18:00:00,9969.00
2020-02-13 19:00:00,6691.00
2020-02-13 20:00:00,5218.00
2020-02-13 21:00:00,5240.00
2020-02-13 22:00:00,4856.00
2020-02-13 23:00:00,4981.00
2020-02-14 00:00:00,4492.00
2020-02-14 01:00:00,4418.00
2020-02-14 02:00:00,4067.00
2020-02-14 03:00:00,4294.00
2020-02-14 04:00:00,5072.00
2020-02-14 05:00:00,5997.00
2020-02-14 06:00:00,6784.00
2020-02-14 07:00:00,8252.00
2020-02-14 08:00:00,17474.00
2020-02-14 09:00:00,40356.00
2020-02-14 10:00:00,26018.00
2020-02-14 11:00:00,23277.00
2020-02-14 12:00:00,12878.00
2020-02-14 13:00:00,12103.00
2020-02-14 14:00:00,16727.00
2020-02-14 15:00:00,15917.00
2020-02-14 16:00:00,15726.00
2020-02-14 17:00:00,12131.00
2020-02-14 18:00:00,7742.00
2020-02-14 19:00:00,5359.00
2020-02-14 20:00:00,6020.00
2020-02-14 21:00:00,5445.00
2020-02-14 22:00:00,5123.00
2020-02-14 23:00:00,5147.00
2020-02-15 00:00:00,4808.00
2020-02-15 01:00:00,4441.00
2020-02-15 02:00:00,4218.00
2020-02-15 03:00:00,4324.00
2020-02-15 04:00:00,4072.00
2020-02-15 07:00:00,3659.00
2020-02-15 08:00:00,4203.00
2020-02-15 09:00:00,4257.00
2020-02-15 10:00:00,2503.00
2020-02-15 11:00:00,1730.00
2020-02-15 12:00:00,1884.00
2020-02-15 13:00:00,3851.00
2020-02-15 14:00:00,3800.00
2020-02-15 15:00:00,3934.00
2020-02-15 16:00:00,4083.00
